iter	Passed	Remaining
0	201	201562
1	228	114071
2	240	80013
3	251	62532
4	260	51924
5	270	44865
6	286	40598
7	297	36902
8	307	33835
9	317	31383
10	326	29361
11	336	27678
12	350	26622
13	362	25509
14	372	24441
15	381	23470
16	391	22620
17	401	21900
18	412	21308
19	423	20747
20	433	20201
21	443	19705
22	453	19251
23	462	18826
24	472	18444
25	482	18089
26	492	17762
27	502	17449
28	512	17159
29	521	16876
30	531	16613
31	541	16366
32	550	16136
33	560	15915
34	569	15712
35	579	15523
36	589	15336
37	598	15156
38	612	15094
39	623	14964
40	632	14804
41	642	14650
42	651	14510
43	661	14375
44	671	14251
45	681	14132
46	696	14122
47	708	14043
48	717	13934
49	727	13827
50	737	13728
51	747	13631
52	757	13528
53	767	13443
54	777	13353
55	787	13271
56	797	13191
57	807	13112
58	817	13031
59	826	12953
60	837	12884
61	850	12869
62	861	12812
63	871	12747
64	881	12683
65	891	12613
66	901	12547
67	910	12479
68	920	12426
69	931	12381
70	943	12341
71	957	12340
72	967	12286
73	978	12238
74	989	12203
75	1001	12170
76	1012	12135
77	1023	12095
78	1033	12050
79	1043	12002
80	1053	11956
81	1063	11908
82	1073	11859
83	1082	11808
84	1092	11756
85	1101	11711
86	1111	11666
87	1121	11625
88	1132	11588
89	1141	11545
90	1151	11504
91	1161	11461
92	1170	11417
93	1180	11373
94	1189	11333
95	1199	11290
96	1208	11248
97	1217	11207
98	1226	11163
99	1235	11123
100	1245	11084
101	1254	11044
102	1263	11005
103	1273	10967
104	1282	10928
105	1291	10892
106	1300	10856
107	1310	10824
108	1319	10788
109	1329	10755
110	1338	10720
111	1347	10685
112	1356	10649
113	1366	10616
114	1374	10573
115	1383	10541
116	1392	10509
117	1401	10478
118	1410	10444
119	1420	10414
120	1429	10383
121	1438	10354
122	1448	10325
123	1457	10296
124	1466	10268
125	1475	10238
126	1485	10208
127	1494	10180
128	1503	10153
129	1513	10129
130	1522	10101
131	1532	10078
132	1541	10051
133	1551	10025
134	1560	9999
135	1570	9975
136	1579	9948
137	1588	9920
138	1597	9895
139	1606	9869
140	1615	9844
141	1626	9825
142	1635	9801
143	1645	9779
144	1654	9755
145	1664	9733
146	1673	9711
147	1683	9689
148	1692	9668
149	1702	9646
150	1712	9626
151	1721	9604
152	1731	9584
153	1741	9567
154	1751	9549
155	1762	9535
156	1772	9516
157	1782	9496
158	1792	9479
159	1801	9458
160	1811	9440
161	1820	9419
162	1830	9397
163	1840	9380
164	1849	9361
165	1859	9341
166	1868	9320
167	1878	9301
168	1887	9281
169	1897	9262
170	1907	9245
171	1916	9226
172	1926	9207
173	1935	9186
174	1944	9166
175	1954	9149
176	1969	9155
177	1978	9138
178	1988	9121
179	1998	9102
180	2007	9082
181	2016	9065
182	2027	9049
183	2037	9035
184	2047	9021
185	2057	9004
186	2066	8986
187	2076	8967
188	2085	8948
189	2094	8930
190	2103	8911
191	2112	8892
192	2122	8873
193	2131	8856
194	2141	8839
195	2150	8820
196	2159	8803
197	2169	8785
198	2178	8767
199	2187	8748
200	2196	8730
201	2205	8712
202	2214	8694
203	2224	8679
204	2233	8662
205	2243	8645
206	2252	8627
207	2261	8610
208	2270	8593
209	2280	8578
210	2289	8560
211	2298	8544
212	2308	8529
213	2317	8511
214	2326	8494
215	2335	8478
216	2344	8461
217	2354	8445
218	2364	8430
219	2372	8413
220	2382	8396
221	2391	8380
222	2400	8363
223	2410	8349
224	2421	8341
225	2431	8327
226	2441	8313
227	2450	8298
228	2460	8283
229	2469	8269
230	2479	8254
231	2489	8240
232	2498	8225
233	2508	8211
234	2517	8195
235	2527	8181
236	2537	8168
237	2546	8154
238	2556	8140
239	2565	8125
240	2575	8111
241	2584	8096
242	2594	8083
243	2604	8068
244	2613	8054
245	2623	8040
246	2632	8026
247	2642	8013
248	2652	8000
249	2662	7986
250	2671	7972
251	2681	7959
252	2691	7946
253	2701	7933
254	2710	7920
255	2720	7906
256	2729	7892
257	2739	7878
258	2748	7863
259	2758	7850
260	2767	7835
261	2776	7821
262	2786	7807
